代码,名称,日期,open,high,low,close,成交额(百万),成交量(股),macd,rsi_6,kdj,cci,sma10,ema10,change
399300.SZ,沪深300,2002/1/17,1152.15,1152.15,1152.15,1152.15,0,0,-12.70982313,12.30481024,4.370178012,-131.1809752,1246.058,1217.586473,-1
399300.SZ,沪深300,2002/1/18,1149.48,1149.48,1149.48,1149.48,0,0,-14.92496991,12.01483449,2.913452008,-110.5134439,1229.36,1203.673172,-1
399300.SZ,沪深300,2002/1/21,1108.61,1108.61,1108.61,1108.61,0,0,-18.59098164,8.38513056,1.942301338,-132.6594214,1210.013,1184.679724,-1
399300.SZ,沪深300,2002/1/22,1109.99,1109.99,1109.99,1109.99,0,0,-20.98522455,9.493006782,1.561302543,-113.879803,1191.741,1170.020428,1
399300.SZ,沪深300,2002/1/23,1183.15,1183.15,1183.15,1183.15,0,0,-18.26471954,48.84615156,18.63765779,-35.18120628,1182.791,1172.56065,1
399300.SZ,沪深300,2002/1/24,1189.58,1189.58,1189.58,1189.58,0,0,-15.59844288,51.08911083,40.38242858,-20.89660341,1173.623,1175.815505,1
399300.SZ,沪深300,2002/1/25,1189.43,1189.43,1189.43,1189.43,0,0,-13.38833062,51.02647826,55.80550455,-12.71220482,1167.585,1178.394887,-1
399300.SZ,沪深300,2002/1/28,1112.84,1112.84,1112.84,1112.84,0,0,-16.27640163,29.13863076,38.71540981,-114.4963633,1158.354,1166.069129,-1
399300.SZ,沪深300,2002/1/29,1140.38,1140.38,1140.38,1140.38,0,0,-16.55199128,40.20586623,38.88919132,-58.71930101,1153.749,1161.268789,1
399300.SZ,沪深300,2002/1/30,1145.86,1145.86,1145.86,1145.86,0,0,-16.21092368,42.35559963,41.26102525,-38.76957678,1148.147,1158.403913,1
399300.SZ,沪深300,2002/1/31,1221.76,1221.76,1221.76,1221.76,0,0,-10.80493307,63.91681863,60.8406835,117.5875594,1155.108,1170.135205,1
